id,title,genre,language,release_year,company,vote_average
191714,The Lunchbox,drama|romance,Hindi,2013,others,0.73
191714,The Lunchbox,drama|romance,Hindi,2013,others,0.73
32740,Krrish,action|science fiction,Hindi,2006,none,0.55
185008,Yeh Jawaani Hai Deewani,romance,Hindi,2013,others,0.7200000000000001
58051,Housefull,drama|comedy|romance|foreign,Hindi,2010,none,0.52
4251,Veer-Zaara,drama|romance,Hindi,2004,yash raj films,0.7400000000000001
26815,Rocket Singh: Salesman of the Year,drama|comedy|romance,Hindi,2009,yash raj films,0.7000000000000001
217708,Of Horses and Men,drama|romance|comedy,other,2013,others,0.6900000000000001
7301,Lonesome Jim,comedy|drama|romance,English,2005,others,0.6400000000000001
14758,Good Dick,comedy|drama|romance,English,2008,others,0.61
1378,Shortbus,romance|drama|comedy,English,2006,others,0.63
44594,Barry Munday,comedy|drama|romance,English,2010,others,0.63
14608,Partition,drama|foreign|romance,English,2007,others,0.6400000000000001
219,Volver,comedy|drama|romance,Spanish,2006,others,0.73
38031,You Will Meet a Tall Dark Stranger,comedy|drama|romance,English,2010,others,0.58
14317,The Wild Thornberrys Movie,animation|adventure|family,English,2002,paramount pictures|nickelodeon movies|paramount animation,0.58
9087,The American President,comedy|drama|romance,English,1995,castle rock entertainment|columbia pictures,0.65
9023,Spirit: Stallion of the Cimarron,western|animation|adventure|comedy|family,English,2002,dreamworks animation|dreamworks skg,0.7400000000000001
228970,Wild,drama,English,2014,fox searchlight pictures,0.7000000000000001
227707,The Adventurer: The Curse of the Midas Box,fantasy|adventure|family,English,2013,le tax shelter du gouvernement fédéral de belgique|ufilm,0.51
171759,The Lost Medallion: The Adventures of Billy Stone,adventure|family,English,2013,others,0.5599999999999999
17578,The Adventures of Tintin,adventure|animation|mystery,English,2011,"wingnut films|nickelodeon movies|columbia pictures|amblin entertainment|paramount pictures|kennedy/marshall company, the",0.67
18975,The Adventures of Pinocchio,animation|family|fantasy,English,1996,savoy pictures|new line cinema,0.5
23618,The Original Kings of Comedy,comedy,English,2000,40 acres & a mule filmworks,0.63
22597,The Broken Hearts Club: A Romantic Comedy,comedy|drama|romance,English,2000,none,0.63
1581,The Holiday,comedy|romance,English,2006,relativity media|columbia pictures|universal pictures,0.67
132316,Jab Tak Hai Jaan,drama|romance,Hindi,2012,yash raj films,0.73
191714,The Lunchbox,drama|romance,Hindi,2013,others,0.73
32740,Krrish,action|science fiction,Hindi,2006,none,0.55
293660,Deadpool,action|adventure|comedy,English,2016,tsg entertainment|marvel entertainment|twentieth century fox film corporation,0.7400000000000001
119450,Dawn of the Planet of the Apes,science fiction|action|drama|thriller,English,2014,ingenious media|tsg entertainment|chernin entertainment,0.73
22,Pirates of the Caribbean: The Curse of the Black Pearl,adventure|fantasy|action,English,2003,jerry bruckheimer films|walt disney pictures,0.75
135397,Jurassic World,action|adventure|science fiction|thriller,English,2015,universal studios|amblin entertainment|fuji television network|legendary pictures|dentsu,0.65
131631,The Hunger Games: Mockingjay - Part 1,science fiction|adventure|thriller,English,2014,lionsgate|color force,0.66
87101,Terminator Genisys,science fiction|action|thriller|adventure,English,2015,paramount pictures|annapurna pictures,0.58
672,Harry Potter and the Chamber of Secrets,adventure|fantasy|family,English,2002,1492 pictures|heyday films|warner bros.,0.7400000000000001
673,Harry Potter and the Prisoner of Azkaban,adventure|fantasy|family,English,2004,1492 pictures|heyday films|warner bros.,0.77
675,Harry Potter and the Order of the Phoenix,adventure|fantasy|family|mystery,English,2007,warner bros.|heyday films,0.7400000000000001
767,Harry Potter and the Half-Blood Prince,adventure|fantasy|family,English,2009,warner bros.|heyday films,0.7400000000000001
674,Harry Potter and the Goblet of Fire,adventure|fantasy|family,English,2005,warner bros.|heyday films,0.75
671,Harry Potter and the Philosopher's Stone,adventure|fantasy|family,English,2001,1492 pictures|warner bros.|heyday films,0.75
10152,Dumb and Dumberer: When Harry Met Lloyd,comedy,English,2003,new line cinema,0.41
132316,Jab Tak Hai Jaan,drama|romance,Hindi,2012,yash raj films,0.73
191714,The Lunchbox,drama|romance,Hindi,2013,others,0.73
32740,Krrish,action|science fiction,Hindi,2006,none,0.55
672,Harry Potter and the Chamber of Secrets,adventure|fantasy|family,English,2002,1492 pictures|heyday films|warner bros.,0.7400000000000001
673,Harry Potter and the Prisoner of Azkaban,adventure|fantasy|family,English,2004,1492 pictures|heyday films|warner bros.,0.77
22556,The Yellow Handkerchief,drama|romance,English,2008,others,0.6400000000000001
36811,The Last Station,drama|romance,English,2009,others,0.67
41110,I Am Love,drama|romance,Italian,2009,others,0.6900000000000001
326,Snakes on a Plane,action|crime|horror|thriller,English,2006,new line cinema,0.51
11237,Anacondas: The Hunt for the Blood Orchid,adventure|action|horror|science fiction|thriller,English,2004,screen gems,0.49
10748,St. Trinian's,comedy|family|science fiction,English,2007,others,0.5599999999999999
9360,Anaconda,adventure|horror|thriller,English,1997,columbia pictures corporation,0.47
10253,Dragon Wars: D-War,fantasy|drama|horror|action|thriller|science fiction,Korean,2007,others,0.4
278927,The Jungle Book,family|adventure|drama|fantasy,English,2016,walt disney studios motion pictures|walt disney pictures|moving picture company (mpc),0.67
278927,The Jungle Book,family|adventure|drama|fantasy,English,2016,walt disney studios motion pictures|walt disney pictures|moving picture company (mpc),0.67
